Search Query,Clicks,Impressions,CTR,Average Position
русские кинотеатры в нью йорке,0,2,0.00%,33
рубрики,0,1,0.00%,180
россия сириус,0,85,0.00%,9.1
российская кока кола,0,1,0.00%,1.0
роззета,0,10,0.00%,8.8
розетте,0,2,0.00%,74
розетта фильм,0,180,0.00%,49
розетта сайт,0,1,0.00%,81
розетта рисунок,0,1,0.00%,1.0
розетта кемерово,0,9,0.00%,76
розетта имя,0,7,0.00%,78
розетта (фильм),0,9,0.00%,40
розетта,0,474,0.00%,18
рассказ о путешествии на планету солнечной системы,1,1,100.00%,100
разрешение 3к,0,3,0.00%,46
разетта,0,1,0.00%,6.0
развлекательные парки,0,2,0.00%,81
пять футов друг от друга,0,1,0.00%,1.0
путешествия по солнечной системе,0,3,0.00%,4.7
путешествие солнечной ладьи,0,1,0.00%,92
путешествие по солнечной системе фильм,13,172,7.56%,6.1
путешествие по солнечной системе смотреть онлайн,1,23,4.35%,3.3
путешествие по солнечной системе планетарий,1,71,1.41%,17
путешествие по солнечной системе,50,"2,983",1.68%,5.6
путешествие по планетам солнечной системы,0,81,0.00%,19
путешествие по планетам смотреть онлайн,0,32,0.00%,46
путешествие по планетам,0,29,0.00%,71
путешествие по млечному пути,15,339,4.42%,4.3
путешествие по галактике,0,1,0.00%,41
путешествие по вселенной онлайн,0,4,0.00%,80
путешествие к центру галактики,0,71,0.00%,6.7
путешествие к центру,0,2,0.00%,62
путешествие йога по мистической вселенной,0,6,0.00%,7.3
путешествие за купол,0,6,0.00%,38
путеводитель космического туриста по солнечной системе,0,1,0.00%,83
просатом,0,1,0.00%,2.0
прозрачный надувной купол,0,50,0.00%,40
проекционные экраны wedo,0,17,0.00%,41
проекционные полы,0,15,0.00%,52
проекционные,0,1,0.00%,98
проектор ташкент,0,1,0.00%,74
проект розетта,0,73,0.00%,18
проект про солнечную систему,0,1,0.00%,62
про дракошу,0,4,0.00%,87
присоеденитесь,0,4,0.00%,41
принц вильям,0,10,0.00%,52
приключения карманных дракончиков,0,1,0.00%,75
приключения дракоши,1,99,1.01%,14
приключение дракона,0,16,0.00%,68
приключение,0,2,0.00%,61
презентация млечный путь,0,1,0.00%,80
почему луна выглядит по разному,0,19,0.00%,63
пост тест,0,2,0.00%,86
портативный планетарий,0,1,0.00%,90
полнокупольный фильм,0,19,0.00%,43
полнокупольный кинотеатр,0,66,0.00%,7.0
полнокупольные фильмы,0,87,0.00%,52
полнокупольное шоу,0,55,0.00%,71
полнокупольное кино,2,17,11.76%,4.1
полет фантазий,0,38,0.00%,37
полет фантазии это,1,96,1.04%,14
полет фантазии шд,0,1,0.00%,8.0
полёт фантазии дуо шд,0,1,0.00%,8.0
полет фантазии - это,0,1,0.00%,40
полёт фантазии,0,19,0.00%,34
полет фантазии,0,288,0.00%,28
полет для фантазии,0,8,0.00%,29
покорила изнутри,0,1,0.00%,99
под куполом стрим,0,3,0.00%,75
под куполом client,0,40,0.00%,83
по млечному пути отзывы,0,1,0.00%,83
площадь купола,0,39,0.00%,37
платье купол,0,4,0.00%,83
планитарий,0,1,0.00%,93
планетарій київ,0,4,0.00%,26
планетарій,0,2,0.00%,25
планетария это,0,1,0.00%,1.0
планетария,0,4,0.00%,78
планетариум это,0,2,0.00%,1.5
планетариум ташкент,0,3,0.00%,16
планетариум ру,0,1,0.00%,10
планетариум 2016,0,1,0.00%,1.0
планетариум,0,9,0.00%,14
планетарий это что,0,6,0.00%,83
планетарий это,0,94,0.00%,8.0
планетарий что это такое,0,16,0.00%,62
планетарий что это,0,22,0.00%,29
планетарий что такое,0,1,0.00%,87
планетарий украина,0,1,0.00%,91
планетарий ташкент сити цены,0,4,0.00%,23
планетарий ташкент сити,0,8,0.00%,33
планетарий ташкент,0,2,0.00%,45
планетарий сфера альметьевск,0,1,0.00%,22
планетарий сириус,0,1,0.00%,8.0
планетарий путешествие по солнечной системе,0,16,0.00%,35
планетарий передвижной,3,354,0.85%,5.6
планетарий москвы,0,1,0.00%,34
планетарий москва,0,5,0.00%,22
планетарий мобильный,1,176,0.57%,12
планетарий купол,0,7,0.00%,3.9
планетарий купить оборудование,0,164,0.00%,31
планетарий киев,0,8,0.00%,29
планетарий картинки,0,1,0.00%,55
планетарий израиль,0,3,0.00%,26
планетарий в ташкент сити,0,1,0.00%,26
планетарий,0,8,0.00%,63
планетарии,0,1,0.00%,98
планетаний,0,1,0.00%,88
планета хищников,0,1,0.00%,76
планета коров,0,16,0.00%,52
планета динозавров фильм,0,15,0.00%,67
планета динозавров спб,0,2,0.00%,99
планета динозавров,0,116,0.00%,52
переносной планетарий,0,2,0.00%,26
передвижной планетарий купить,0,38,0.00%,10
передвижной планетарий,17,"1,076",1.58%,5.5
перевод dome,0,1,0.00%,12
"парк науки и искусства ""сириус"" фото",0,6,0.00%,2.0
отрицательное давление воздуха,0,8,0.00%,70
отрицательное давление вакуума,0,41,0.00%,51
отрицательное давление,0,4,0.00%,79
откуда появилась материя,0,5,0.00%,44
остер,0,1,0.00%,9.0
орхидея розетта фото,0,2,0.00%,1.0
ооо унитех,0,2,0.00%,93
одни ли мы в солнечной системе,0,38,0.00%,35
оборудование для планетария,0,237,0.00%,35
оборудование для геокуполов,0,1,0.00%,100
новый орлеан вуду,0,6,0.00%,92
несс планета,0,1,0.00%,4.0
небесный механизм,0,243,0.00%,9.7
народность мяо в китае,0,4,0.00%,86
народ мяо,0,10,0.00%,83
наньянг,0,3,0.00%,61
надувной планетарий купить,0,15,0.00%,13
надувной планетарий,3,160,1.88%,12
над поверхностью фильм,0,1,0.00%,39
на млечном пути,0,11,0.00%,55
на куполе одно,0,1,0.00%,11
на голубой,0,6,0.00%,27
мяо народность,0,1,0.00%,70
мяо,0,3,0.00%,93
мы под куполом,0,3,0.00%,79
мультфильм про коров,0,15,0.00%,52
мультик про планеты,0,3,0.00%,90
мультик про коров,0,6,0.00%,73
мультик про динозавтров,0,1,0.00%,72
московский планетарий,0,2,0.00%,31
москва планетарий,0,1,0.00%,23
мобільний планетарій,0,35,0.00%,31
мобильный планетарий это,2,307,0.65%,10
мобильный планетарий что это,0,4,0.00%,14
мобильный планетарий цена,0,7,0.00%,29
мобильный планетарий фото,1,67,1.49%,4.5
мобильный планетарий под ключ,0,13,0.00%,50
мобильный планетарий купить в казахстане,1,17,5.88%,18
мобильный планетарий купить,12,433,2.77%,16
мобильный планетарий внутри,0,40,0.00%,6.7
мобильный планетарий бизнес план,0,8,0.00%,47
мобильный планетарий,28,"3,455",0.81%,7.4
мобильный 3д планетарий,0,3,0.00%,13
мобильные планетарии,0,130,0.00%,28
мобильная планета,0,3,0.00%,91
мобилен планетариум,0,1,0.00%,10
млечный путь это,0,3,0.00%,97
млечный путь что такое,0,1,0.00%,88
млечный путь центр,0,6,0.00%,72
млечный путь фото,0,1,0.00%,170
млечный путь фильм 1969,0,1,0.00%,97
млечный путь сайт,0,14,0.00%,63
млечный путь презентация,0,6,0.00%,74
млечный путь перевод на английский,0,3,0.00%,53
млечный путь перевод,0,4,0.00%,78
млечный путь отзывы,0,2,0.00%,99
млечный путь на английском,0,4,0.00%,75
млечный путь кемпинг,0,2,0.00%,80
млечный путь где находится,0,2,0.00%,87
млечный путь большое космическое путешествие,0,1,0.00%,100
млечный путь 4к,0,9,0.00%,29
млечный путь 2114,0,3,0.00%,69
млечный путь,0,7,0.00%,110
млечные пути,0,1,0.00%,57
млечном пути,0,4,0.00%,53
млечного пути,0,26,0.00%,43
мидалидаре гастро пъб,0,1,0.00%,32
мдц ташкент сити,0,1,0.00%,79
магический остров,4,279,1.43%,6.2
магические острова,0,14,0.00%,5.1
лучшее шоу,0,1,0.00%,74
луна навсегда,0,1,0.00%,15
летающий театр ташкент сити,0,5,0.00%,26
летающий театр ташкент,0,10,0.00%,21
летающий театр в ташкент сити,0,3,0.00%,6.3
лара крофт ангкор ват,0,2,0.00%,1.0
ланнатай,0,1,0.00%,28
кусум саровар,0,4,0.00%,59
купсола,0,1,0.00%,82
купольный планетарий,0,1,0.00%,2.0
купольный кинотеатр купить,0,2,0.00%,10
купольный кинотеатр,1,71,1.41%,60
куполы,0,3,0.00%,66
куполов,0,45,0.00%,45
купола,0,823,0.00%,54
купол фильм,0,5,0.00%,71
купол смотреть,0,2,0.00%,38
купол про,0,7,0.00%,53
купол обучение,0,16,0.00%,27
купол м,0,2,0.00%,5.0
купол купить,1,43,2.33%,13
купол кино,0,26,0.00%,43
купол інтерв ю wp,0,1,0.00%,10
купол вр,0,16,0.00%,2.1
купол wp,0,6,0.00%,3.5
купол 46,0,2,0.00%,28
купол 360 чебоксары,0,8,0.00%,15
купол 360,1,272,0.37%,9.3
купол,0,319,0.00%,60
куплл,0,1,0.00%,13
купить мобильный планетарий под ключ,0,33,0.00%,54
купить мобильный планетарий,3,90,3.33%,22
купить купол,0,73,0.00%,29
крупнейшие обсерватории мира,0,11,0.00%,79
кресло купол,0,2,0.00%,97
кратные звездные системы,0,1,0.00%,90
космическое яйцо,0,1,0.00%,3.0
космическая викторина,0,30,0.00%,70
королевство пепла,0,4,0.00%,76
комплекс мидалидаре,0,1,0.00%,41
комик кон нью йорк,0,3,0.00%,39
кока кола футбол,0,5,0.00%,78
кока кола азербайджан,0,1,0.00%,13
китайская стина,0,4,0.00%,90
китайская стена фильм ютуб,0,1,0.00%,51
китайская стена где,0,1,0.00%,93
китайская стена видео,0,32,0.00%,45
китайская стена,0,107,0.00%,91
китаиская стена,0,1,0.00%,91
кинотеатры в нью йорке,0,7,0.00%,62
кинотеатр это,0,19,0.00%,79
кинотеатр что это,0,1,0.00%,46
кинотеатр ташкент сити,1,2,50.00%,36
кинотеатр тау,0,1,0.00%,70
кинотеатр полет,0,1,0.00%,82
кинотеатр под куполом,0,16,0.00%,80
кинотеатр в панаме,0,1,0.00%,38
кино пол,0,1,0.00%,95
кино купол,0,14,0.00%,57
кино в лыткарино,0,1,0.00%,36
кино full,0,7,0.00%,33
київський планетарій,0,1,0.00%,18
київ планетарій,0,1,0.00%,27
киевский планетарий,0,2,0.00%,27
киев планетарий,0,1,0.00%,26
киев мажор,0,1,0.00%,58
как увидеть млечный путь в украине,0,1,0.00%,82
как появилась материя,0,7,0.00%,29
как найти млечный путь,0,1,0.00%,99
как выглядит луна в разные дни,0,2,0.00%,34
йога украина,0,11,0.00%,34
история яйца,0,1,0.00%,81
ис-360,0,2,0.00%,1.0
интересные факты о солнце и луне,0,1,0.00%,61
интересные вопросы по астрономии с ответами,0,1,0.00%,78
интересные вопросы по астрономии,0,4,0.00%,75
имя розетта,0,1,0.00%,20
империя млечного пути,0,2,0.00%,96
иммерсивный кинотеатр,0,46,0.00%,42
иммерсивный аттракцион,0,269,0.00%,30
иммерсивное кино,0,1,0.00%,32
из чего состоит темная материя,0,2,0.00%,62
идеи для фестиваля,0,1,0.00%,99
идеи для парка развлечений,0,1,0.00%,92
идеи для парка,0,3,0.00%,91
звук парка,0,4,0.00%,70
загадки солнце,0,8,0.00%,56
загадки солнца,1,46,2.17%,11
загадки о солнце,0,72,0.00%,80
живые концерты,0,9,0.00%,72
живые выступления,0,5,0.00%,73
живут ли львы в джунглях,0,3,0.00%,64
египитская сила,0,1,0.00%,10
египетская сила это,0,26,0.00%,25
египетская сила,0,372,0.00%,44
дщсфешщт шсщт,0,1,0.00%,53
дракоши,1,690,0.14%,6.8
доме,0,1,0.00%,1.0
документальный фильм о вселенной,0,19,0.00%,53
документальный фильм вселенная,0,8,0.00%,57
для чего китайская стена,0,1,0.00%,99
джагганат,0,1,0.00%,60
джаганнат перевод,0,5,0.00%,18
джаганнат,0,10,0.00%,62
джаганат,0,2,0.00%,63
детский фильм про динозавров,0,25,0.00%,63
девин арт,0,2,0.00%,50
два,0,1,0.00%,3.0
гопать это,0,1,0.00%,26
гопала,0,176,0.00%,18
гопал,1,"1,280",0.08%,5.8
голубые планеты,0,6,0.00%,43
голливуд-хиллз,0,1,0.00%,64
голливуд хилс,0,7,0.00%,24
георгий аистов,0,27,0.00%,51
где начинается китайская стена,0,19,0.00%,36
где находится млечный путь,0,6,0.00%,74
где млечный путь,0,6,0.00%,73
где китайская стена,0,1,0.00%,96
гарбхадхана самскара,0,1,0.00%,92
галлереи,0,3,0.00%,56
галактика млечный путь,0,1,0.00%,78
выставка самскара,0,4,0.00%,73
выездной планетарий москва,0,1,0.00%,92
выездной планетарий,1,12,8.33%,13
вщьу,0,2,0.00%,12
вселенная энергия,0,12,0.00%,23
вселенная солнечная система,0,1,0.00%,74
вселенная и солнечная система,0,2,0.00%,91
вселенная документальный фильм,0,32,0.00%,50
вселенная арт,1,454,0.22%,4.5
всё о китайской стене,0,1,0.00%,93
вопросы по солнечной системе с ответами,0,1,0.00%,94
вопросы по солнечной системе,0,1,0.00%,85
волосы на зеленом фоне,0,2,0.00%,1.0
война в босна и херцеговина,0,1,0.00%,85
возрождение венеры,0,10,0.00%,83
воздушный театр ташкент сити,0,1,0.00%,74
возвращение на луну,2,26,7.69%,8.2
вильям принц,0,1,0.00%,31
викторина по астрономии с ответами,0,8,0.00%,47
викторина по астрономии,0,17,0.00%,84
в глубинах млечного пути,0,5,0.00%,79
в глубинах космоса,0,15,0.00%,19
бум фестиваль,0,36,0.00%,21
бульвар ташкент сити,0,7,0.00%,32
брингс,0,2,0.00%,45
большой бангкок,0,3,0.00%,30
большое путешествие по планетам солнечной системы,0,1,0.00%,85
большие истории,0,5,0.00%,77
блог вселенная искусства,0,18,0.00%,18
бест студио,0,8,0.00%,63
аттракцион 360,0,3,0.00%,81
атмосфера ташкент,0,3,0.00%,85
атмосфера 360 москва,0,2,0.00%,56
атмасфера,0,9,0.00%,65
атма 1,0,3,0.00%,15
астри,0,1,0.00%,1.0
арт вселенная,1,69,1.45%,1.4
аренда купола,0,1,0.00%,97
анкорват,0,2,0.00%,71
анкор ватт,0,1,0.00%,83
анкор ват,0,26,0.00%,76
анкгор ват,0,1,0.00%,71
анимация солнечной системы,0,2,0.00%,96
андроид джонс картины,0,7,0.00%,83
андроид джонс,0,14,0.00%,50
ангор ват,0,13,0.00%,81
ангкорват,0,2,0.00%,85
ангкор-вата,0,1,0.00%,91
ангкор-ват,0,18,0.00%,73
ангкор ват лара крофт,0,3,0.00%,17
ангкор ват город,0,3,0.00%,75
ангкор ват,0,401,0.00%,76
ангкор,0,2,0.00%,88
алладин постер,0,4,0.00%,31
айдент техподдержка,0,2,0.00%,53
адульт свим,0,2,0.00%,91
а вы чем занимаетесь,0,3,0.00%,66

